slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
2832,118,25,0,0,5,0,0
2856,119,25,0,0,5,0,0
2880,120,25,0,0,5,0,0
2881,120,25,0,0,5,0,0
2882,120,25,0,0,5,0,0
2883,120,25,0,0,5,0,0
2884,120,25,0,0,5,0,0
2885,120,25,0,0,5,0,0
2886,120,25,0,0,5,0,0
2887,120,25,0,0,5,0,0
2904,121,25,0,0,5,0,0
2928,122,25,0,0,5,0,0
2952,123,25,0,0,5,0,0
2976,124,25,0,0,5,0,0
3000,125,25,0,0,5,0,0
3001,125,25,0,0,5,0,0
3002,125,25,0,0,5,0,0
3003,125,25,0,0,5,0,0
3004,125,25,0,0,5,0,0
3005,125,25,0,0,5,0,0
3006,125,25,0,0,5,0,0
3007,125,25,0,0,5,0,0
3024,126,25,0,0,5,0,0
3048,127,25,0,0,5,0,0
3072,128,25,0,0,5,0,0
3096,129,25,0,0,5,0,0
3120,130,25,0,0,5,0,0
3121,130,25,0,0,5,0,0
3122,130,25,0,0,5,0,0
3123,130,25,0,0,5,0,0
3124,130,25,0,0,5,0,0
3125,130,25,0,0,5,0,0
3126,130,25,0,0,5,0,0
3127,130,25,0,0,5,0,0
3144,131,25,0,0,5,0,0
3168,132,25,0,0,5,0,0
3192,133,25,0,0,5,0,0
3216,134,25,0,0,5,0,0
3240,135,25,0,0,5,0,0
3241,135,25,0,0,5,0,0
3242,135,25,0,0,5,0,0
3243,135,25,0,0,5,0,0
3244,135,25,0,0,5,0,0
3245,135,25,0,0,5,0,0
3246,135,25,0,0,5,0,0
3247,135,25,0,0,5,0,0
3264,136,25,0,0,5,0,0
3288,137,25,0,0,5,0,0
3312,138,25,0,0,5,0,0
3336,139,25,0,0,5,0,0
3360,140,25,0,0,5,0,0
3361,140,25,0,0,5,0,0
3362,140,25,0,0,5,0,0
3363,140,25,0,0,5,0,0
3364,140,25,0,0,5,0,0
3365,140,25,0,0,5,0,0
3366,140,25,0,0,5,0,0
3367,140,25,0,0,5,0,0
3384,141,25,0,0,5,0,0
3408,142,25,0,0,5,0,0
3432,143,25,0,0,5,0,0
3456,144,25,0,0,5,0,0
3480,145,25,0,0,5,0,0
3481,145,25,0,0,5,0,0
3482,145,25,0,0,5,0,0
3483,145,25,0,0,5,0,0
3484,145,25,0,0,5,0,0
3485,145,25,0,0,5,0,0
3486,145,25,0,0,5,0,0
3487,145,25,0,0,5,0,0
3504,146,25,0,0,5,0,0
3528,147,25,0,0,5,0,0
3552,148,25,0,0,5,0,0
3576,149,25,0,0,5,0,0
3600,150,25,0,0,5,0,0
3601,150,25,0,0,5,0,0
3602,150,25,0,0,5,0,0
3603,150,25,0,0,5,0,0
3604,150,25,0,0,5,0,0
3605,150,25,0,0,5,0,0
3606,150,25,0,0,5,0,0
3607,150,25,0,0,5,0,0
3624,151,25,0,0,5,0,0
3648,152,25,0,0,5,0,0
3672,153,25,0,0,5,0,0
