run_id,seed,started_at,finished_at,execution_time_seconds,total_infections,peak_infectious,final_susceptible,final_exposed,final_infectious,final_recovered
9c2b7e87-22f3-48bd-b50f-e2745a463502,1568533586,2026-06-11T13:55:55,2026-06-11T13:55:55,0.10270839999429882,12,10,48,0,0,12
06113e46-be3a-43a8-b355-963828142e47,3904817970,2026-06-11T13:55:55,2026-06-11T13:55:56,0.10305389994755387,14,12,46,0,0,14
b98ec30c-a59f-46b3-93d8-694006291707,1398096083,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10311049997108057,12,10,48,0,0,12
a794c441-1c20-477f-9e8c-ebf06077bda3,1113426907,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10213030001614243,10,10,50,0,0,10
2382bf58-aba1-4fef-929a-e38ea0feb030,1154313091,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10368570004357025,10,10,50,0,0,10
0c55d76a-1f84-42d4-879d-566c2ffe0805,2482084432,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10188380000181496,10,10,50,0,0,10
6ee0fe6b-c02b-4f1c-9d58-0ae65a87df03,3358081281,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10315099998842925,11,10,49,0,0,11
26a05444-c86f-42e0-9e02-99b1c20d4018,3503808681,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10279049997916445,13,12,47,0,0,13
82a39f6d-fa5f-4994-8b63-fcda3648d32c,425635687,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10270250000758097,12,12,48,0,0,12
2c83d652-af62-4a55-a554-9ccdaeeba2aa,2448782820,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10260639997432008,12,10,48,0,0,12
e538dc4a-5217-4e30-a0ad-efb9df1e1f26,3145071492,2026-06-11T13:55:56,2026-06-11T13:55:56,0.10252389998640865,12,11,48,0,0,12
fa53233e-f8d6-41c7-8ba4-d5b58b27b50e,4267114338,2026-06-11T13:55:56,2026-06-11T13:55:57,0.10299959999974817,12,10,48,0,0,12
a262e272-2e2c-4cef-ae35-28f39cbdca33,537216689,2026-06-11T13:55:57,2026-06-11T13:55:57,0.10244009998859838,14,12,46,0,0,14
ce60f13b-48aa-4c95-ac20-06dfca3c51ab,3683964099,2026-06-11T13:55:57,2026-06-11T13:55:57,0.10347360000014305,11,10,49,0,0,11
4e93097a-3314-4f78-b3ea-3b079e3a1200,2055857968,2026-06-11T13:55:57,2026-06-11T13:55:57,0.1038451999775134,16,12,44,0,0,16
1286436e-70b0-4caf-b35d-e6f23a0c3b1c,975963848,2026-06-11T13:55:57,2026-06-11T13:55:57,0.10233740002149716,10,10,50,0,0,10
9e37ec91-9814-4e82-a6d2-5f750c2ca75d,2886400352,2026-06-11T13:55:57,2026-06-11T13:55:57,0.10424170002806932,11,10,49,0,0,11
f3352ae7-3a70-4580-a112-f4f7c30b01ed,3565569057,2026-06-11T13:55:57,2026-06-11T13:55:57,0.10385180002776906,12,11,48,0,0,12
46a8be9c-d0ce-436e-8fff-20514a471008,3086767728,2026-06-11T13:55:57,2026-06-11T13:55:57,0.1029841999989003,10,10,50,0,0,10
8d160602-ba6a-4ddb-8bfa-f604986fcd86,4160672834,2026-06-11T13:55:57,2026-06-11T13:55:57,0.10341949999565259,14,12,46,0,0,14
1ba52533-c455-4190-95e4-e43e2811b51f,1827866675,2026-06-11T13:55:57,2026-06-11T13:55:58,0.10258229996543378,11,11,49,0,0,11
157958a5-4fbc-49c0-887e-944ee3f5c2f4,3741957343,2026-06-11T13:55:58,2026-06-11T13:55:58,0.1036479000467807,11,10,49,0,0,11
a77d6153-f122-4c1a-ab9d-a347c59bbbc2,350271597,2026-06-11T13:55:58,2026-06-11T13:55:58,0.10695659997873008,12,12,48,0,0,12
